trial,assigned_delay,movement_start_time,target_placement_time,exploration_time,annotation_time,target_location,target_annotation,error_distance
training 1,10,1.92,11.92,17.914,78.09,"[1.06, -0.55]","[-0.48, 0.49]",1.8582787734890585
training 2,13,2.19,21.68,23.961,44.78,"[1.16, -0.18]","[0.88, -0.88]",0.7539230729988305
training 3,12,1.5,18.64,24.266,13.83,"[-1.22, 0.35]","[-1.1, 0.09]",0.286356421265527
dark_training 1,15,1.29,18.26,19.84,11.47,"[-1.36, -0.5]","[-1.0, -0.63]",0.3827531841800928
dark_training 2,15,1.46,17.16,19.071,7.33,"[-0.3, 0.4]","[-0.54, 0.58]",0.3
dark_training 3,11,1.82,14.32,16.155,8.24,"[0.25, -0.43]","[0.43, -0.24]",0.261725046566048
test 1,15,2.03,17.61,18.928,11.36,"[0.15, 1.44]","[-0.36, 0.49]",1.078239305534722
test 2,9,1.62,12.08,13.26,10.83,"[0.08, 0.5]","[0.5, 0.53]",0.4210700654285459
test 3,8,1.83,,14.275,59.77,,"[0.89, -0.63]",
test 4,11,2.37,,13.785,7.6,,"[-0.56, 0.66]",
test 5,9,1.43,10.44,11.87,6.45,"[0.42, 0.65]","[0.64, 0.47]",0.284253408071038
