trial,assigned_delay,movement_start_time,target_placement_time,exploration_time,annotation_time,target_location,target_annotation,error_distance
training 1,10,1.33,11.33,27.822,11.38,"[-0.78, 0.86]","[-0.78, 0.8]",0.0599999999999999
training 2,8,1.89,10.57,22.806,9.0,"[0.8, 1.1]","[0.77, 1.19]",0.0948683298050512
training 3,15,1.74,16.74,22.801,8.54,"[-1.36, 0.25]","[-1.24, 0.28]",0.1236931687685299
dark_training 1,15,1.18,16.18,21.246,14.98,"[1.25, -0.33]","[1.29, -0.33]",0.04
dark_training 2,11,1.65,12.65,20.802,9.8,"[1.12, -0.8]","[1.01, -0.94]",0.1780449381476485
dark_training 3,12,2.25,15.11,20.968,15.26,"[-1.3, -0.65]","[-1.39, -0.55]",0.134536240470737
test 1,15,1.56,16.9,21.912,13.62,"[-0.23, -0.5]","[-0.92, -1.09]",0.9078546139112804
test 2,15,0.63,16.07,18.088,10.46,"[-0.31, -1.41]","[0.57, -1.14]",0.9204890004774636
test 3,11,0.97,11.97,15.511,10.31,"[0.37, -1.19]","[-1.23, -0.87]",1.6316862443496911
test 4,13,0.66,21.51,22.819,7.4,"[0.46, 1.37]","[0.82, 0.5]",0.941541289588513
test 5,11,1.25,17.3,18.781,7.46,"[-1.4, -0.12]","[-0.91, -1.02]",1.0247438704378768
